what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1238211379921
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1238211384390
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1238211472390
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1238211472562
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238211473906
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.delete.line,1238211478937
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238211479265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211484734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211488875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211488890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211489375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211514250
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211518718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211518734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211519140
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238211528062
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211531859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211535359
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211535375
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211535828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211547296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211550328
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211550343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238211550796
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238211567203
