what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238500170281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238500171078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501477281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501477296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501477718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501478281
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501482781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501482796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501483218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501483859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501486500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501486515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501486937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501487828
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501496390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501496390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501496843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501497218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501500687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501500687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501501093
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238501502656
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1238501504546
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1238501505718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1238501506218
